"场次编号","阶段","赛程状态","盘口数据状态","日期","开赛时间（盘口页GMT-4）","主队","客队","对阵占位","比赛城市","可见玩法数","缺失原因","用途"
"48","小组赛","球队已确定","当前 m522 赛事页已抓取","06月23日 星期二","06月23日 22:00","哥伦比亚","刚果民主共和国",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"49","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 15:00","瑞士","加拿大",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"50","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 15:00","波斯尼亚和黑塞哥维那","卡塔尔",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"51","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 18:00","摩洛哥","海地",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"52","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 18:00","苏格兰","巴西",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"53","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 21:00","捷克","墨西哥",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"54","小组赛","球队已确定","当前 m522 赛事页已抓取","06月24日 星期三","06月24日 21:00","南非","韩国",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"55","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 16:00","厄瓜多尔","德国",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"56","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 16:00","库拉索","象牙海岸",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"57","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 19:00","日本","瑞典",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"58","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 19:00","突尼斯","荷兰",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"59","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 22:00","巴拉圭","澳大利亚",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"60","小组赛","球队已确定","当前 m522 赛事页已抓取","06月25日 星期四","06月25日 22:00","土耳其","美国",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"61","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 15:00","挪威","法国",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"62","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 15:00","塞内加尔","伊拉克",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"63","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 20:00","佛得角共和国","沙特阿拉伯",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"64","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 20:00","乌拉圭","西班牙",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"65","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 23:00","埃及","伊朗",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"66","小组赛","球队已确定","当前 m522 赛事页已抓取","06月26日 星期五","06月26日 23:00","纽西兰","比利时",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"67","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 17:00","巴拿马","英格兰",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"68","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 17:00","克罗地亚","加纳",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"69","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 19:30","哥伦比亚","葡萄牙",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"70","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 19:30","刚果民主共和国","乌兹别克",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"71","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 22:00","阿尔及利亚","奥地利",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"72","小组赛","球队已确定","当前 m522 赛事页已抓取","06月27日 星期六","06月27日 22:00","约旦","阿根廷",,,"67",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"73","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月28日","06月28日 15:00",,,"A组第二 vs B组第二","洛杉矶，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"74","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月29日","06月29日 16:30",,,"E组第一 vs A/B/C/D/F组最佳第三","福克斯伯勒，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"75","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月29日","06月29日 21:00",,,"F组第一 vs C组第二","瓜达卢佩/蒙特雷，墨西哥","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"76","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月29日","06月29日 13:00",,,"C组第一 vs F组第二","休斯敦，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"77","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月30日","06月30日 17:00",,,"I组第一 vs C/D/F/G/H组最佳第三","新泽西，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"78","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月30日","06月30日 13:00",,,"E组第二 vs I组第二","阿灵顿，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"79","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","06月30日","06月30日 21:00",,,"A组第一 vs C/E/F/H/I组最佳第三","墨西哥城，墨西哥","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"80","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月01日","07月01日 12:00",,,"L组第一 vs E/H/I/J/K组最佳第三","亚特兰大，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"81","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月01日","07月01日 20:00",,,"D组第一 vs B/E/F/I/J组最佳第三","圣克拉拉，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"82","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月01日","07月01日 16:00",,,"G组第一 vs A/E/H/I/J组最佳第三","西雅图，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"83","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月02日","07月02日 19:00",,,"K组第二 vs L组第二","多伦多，加拿大","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"84","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月02日","07月02日 15:00",,,"H组第一 vs J组第二","洛杉矶，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"85","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月02日","07月02日 23:00",,,"B组第一 vs E/F/G/I/J组最佳第三","温哥华，加拿大","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"86","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月03日","07月03日 18:00",,,"J组第一 vs H组第二","迈阿密，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"87","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月03日","07月03日 21:30",,,"K组第一 vs D/E/I/J/L组最佳第三","堪萨斯城，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"88","32强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月03日","07月03日 14:00",,,"D组第二 vs G组第二","阿灵顿，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"89","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月04日","07月04日 17:00",,,"第74场胜者 vs 第77场胜者","费城，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"90","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月04日","07月04日 13:00",,,"第73场胜者 vs 第75场胜者","休斯敦，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"91","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月05日","07月05日 16:00",,,"第76场胜者 vs 第78场胜者","新泽西，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"92","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月05日","07月05日 20:00",,,"第79场胜者 vs 第80场胜者","墨西哥城，墨西哥","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"93","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月06日","07月06日 15:00",,,"第83场胜者 vs 第84场胜者","阿灵顿，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"94","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月06日","07月06日 20:00",,,"第81场胜者 vs 第82场胜者","西雅图，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"95","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月07日","07月07日 12:00",,,"第86场胜者 vs 第88场胜者","亚特兰大，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"96","16强淘汰赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月07日","07月07日 16:00",,,"第85场胜者 vs 第87场胜者","温哥华，加拿大","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"97","四分之一决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月09日","07月09日 16:00",,,"第89场胜者 vs 第90场胜者","福克斯伯勒，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"98","四分之一决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月10日","07月10日 15:00",,,"第93场胜者 vs 第94场胜者","洛杉矶，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"99","四分之一决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月11日","07月11日 17:00",,,"第91场胜者 vs 第92场胜者","迈阿密，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"100","四分之一决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月11日","07月11日 21:00",,,"第95场胜者 vs 第96场胜者","堪萨斯城，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"101","半决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月14日","07月14日 15:00",,,"第97场胜者 vs 第98场胜者","阿灵顿，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"102","半决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月15日","07月15日 15:00",,,"第99场胜者 vs 第100场胜者","亚特兰大，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"103","季军赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月18日","07月18日 17:00",,,"第101场负者 vs 第102场负者","迈阿密，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
"104","决赛","淘汰赛路径占位，实际球队待小组赛结果确定","当前 m522 赛事页未提供","07月19日","07月19日 15:00",,,"第101场胜者 vs 第102场胜者","新泽西，美国","0","当前 m522 赛事页只显示 72 场小组赛盘口；淘汰赛球队未定，页面未提供可见盘口。","仅作赛程和缺失盘口背景数据，不用于投注建议、追分建议或保证预测"
